[02:08:12] [Client thread/ERROR]: Can't find the resource index file: C:\Users\lenovo\.gradle\caches\forge_gradle\assets\indexes\1.13.json
[02:08:12] [Client thread/INFO]: Setting user: Player268
[02:08:18] [Client thread/INFO]: LWJGL Version: 3.1.6 build 14
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.chest.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.chorus_flower.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.chorus_flower.grow
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.comparator.click
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.activate
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.ambient.short
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.attack.target
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.deactivate
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.dispenser.dispense
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.dispenser.fail
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.dispenser.launch
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.enchantment_table.use
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.end_gateway.spawn
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.end_portal.spawn
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.end_portal_frame.fill
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.ender_chest.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.ender_chest.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.fence_gate.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.fence_gate.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.fire.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.fire.extinguish
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.furnace.fire_crackle
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.iron_door.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.iron_door.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.iron_trapdoor.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.iron_trapdoor.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.ladder.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.ladder.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.ladder.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.ladder.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.ladder.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.lava.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.lava.extinguish
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.lava.pop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.lever.click
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.metal.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.metal.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.metal.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.metal.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.metal.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.metal_pressure_plate.click_off
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.metal_pressure_plate.click_on
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.basedrum
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.bass
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.bell
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.chime
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.flute
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.guitar
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.harp
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.hat
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.pling
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.snare
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.note_block.xylophone
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.piston.contract
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.piston.extend
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.portal.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.portal.travel
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.portal.trigger
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.pumpkin.carve
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.redstone_torch.burnout
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.sand.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.sand.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.sand.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.sand.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.sand.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.shulker_box.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.shulker_box.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.slime_block.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.slime_block.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.slime_block.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.slime_block.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.slime_block.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.snow.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.snow.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.snow.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.snow.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.snow.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone_button.click_off
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone_button.click_on
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone_pressure_plate.click_off
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.stone_pressure_plate.click_on
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.tripwire.attach
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.tripwire.click_off
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.tripwire.click_on
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.tripwire.detach
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.water.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.lily_pad.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wood.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wood.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wood.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wood.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wood.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_button.click_off
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_button.click_on
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_pressure_plate.click_off
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_pressure_plate.click_on
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_door.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_door.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_trapdoor.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.wooden_trapdoor.open
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:enchant.thorns.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.armor_stand.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.arrow.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.arrow.hit_player
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.arrow.shoot
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.loop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.bat.takeoff
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.burn
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.blaze.shoot
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.boat.paddle_land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.boat.paddle_water
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.fishing_bobber.retrieve
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.fishing_bobber.splash
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.fishing_bobber.throw
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.hiss
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.purr
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cat.purreow
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.egg
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.flop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.milk
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.creeper.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.creeper.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.creeper.primed
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.ambient_water
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.attack
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.eat
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.jump
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.play
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.splash
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.swim
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.angry
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.chest
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.ambient_water
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.death_water
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.hurt_water
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.shoot
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.swim
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.egg.throw
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.ambient_land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.curse
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.death_land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.flop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.hurt_land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.flap
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.growl
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.shoot
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.dragon_fireball.explode
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_eye.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_eye.launch
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.scream
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.stare
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.teleport
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_pearl.throw
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.cast_spell
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.prepare_attack
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.prepare_summon
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.prepare_wololo
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker_fangs.attack
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.experience_bottle.throw
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.experience_orb.pickup
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.blast
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.blast_far
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.large_blast
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.large_blast_far
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.launch
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.shoot
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.twinkle
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.twinkle_far
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.fish.swim
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.big_fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.burn
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.drink
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.eat
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.explode
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.extinguish_fire
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.small_fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.splash
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.swim
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.scream
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.shoot
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.warn
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.ambient_land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.attack
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.death_land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.flop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.hurt_land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.angry
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.armor
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.breathe
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.eat
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.gallop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.hurt
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.jump
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.saddle
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.step_wood
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.big_fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.death
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.hurt
